Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,10,0,400,1644.9030500021763,330.839800008107,2980.32649999368,505.0,0.35035306288165324,0.0,2900,2900,2900,2900,3000,3000,3000,3000,3000,3000,3000
POST,/files [upload],4,0,460,1299.7405249989242,436.90429998969194,3146.7061000003014,169.0,0.1401412251526613,0.0,1200,1200,3100,3100,3100,3100,3100,3100,3100,3100,3100
GET,/files/[id]/download,10,0,74,66.70355000242125,25.547700002789497,99.71760000917129,4800.0,0.35035306288165324,0.0,75,75,77,96,100,100,100,100,100,100,100
GET,/folders/contents,26,0,39,225.59716922898167,15.927100001135841,3172.3705000040354,1193.6153846153845,0.9109179634922985,0.0,43,45,56,56,570,1100,3200,3200,3200,3200,3200
GET,/notifications,9,0,40,80.43366666566322,17.175899993162602,440.93409999914,7784.111111111111,0.31531775659348793,0.0,40,43,48,51,440,440,440,440,440,440,440
POST,/resources/[id]/comments [create],7,0,590,952.0304285667537,436.54870000318624,2347.882199988817,365.7142857142857,0.24524714401715728,0.0,590,1100,1300,1300,2300,2300,2300,2300,2300,2300,2300
POST,/resources/[id]/tags [attach],9,0,530,894.4523999994594,439.0765999996802,3289.8699999932433,144.11111111111111,0.31531775659348793,0.0,530,610,750,970,3300,3300,3300,3300,3300,3300,3300
GET,/search,25,0,65,276.5383039996959,12.575500004459172,3223.892200010596,2577.56,0.875882657204133,0.0,65,110,140,170,260,1900,3200,3200,3200,3200,3200
GET,/search/global,3,0,530,381.37519999872893,83.06879999872763,532.7842999977292,5143.0,0.10510591886449597,0.0,530,530,530,530,530,530,530,530,530,530,530
POST,/tags [create],10,0,18,22.954210001626052,10.906099996645935,44.17490000196267,127.8,0.35035306288165324,0.0,21,29,29,34,44,44,44,44,44,44,44
GET,/workflows/instances [list],1,0,46.026700001675636,46.026700001675636,46.026700001675636,46.026700001675636,2.0,0.03503530628816533,0.0,46,46,46,46,46,46,46,46,46,46,46
POST,/workflows/instances [start],3,0,1300,1275.44573333095,616.0295000008773,1929.6267999889096,611.0,0.10510591886449597,0.0,1300,1300,1900,1900,1900,1900,1900,1900,1900,1900,1900
,Aggregated,117,0,74,476.73701965767475,10.906099996645935,3289.8699999932433,2065.4273504273506,4.099130835715343,0.0,74,340,460,530,1900,2900,3200,3200,3300,3300,3300
