Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,75,0,350,360.17898133238003,261.0318999941228,491.10790000122506,516.0,0.2510307761239517,0.0,350,400,410,430,440,470,490,490,490,490,490
POST,/files [upload],612,0,170,207.16681160140033,54.36840000038501,932.9260999948019,170.1846405228758,2.0484111331714456,0.0,170,210,240,260,340,460,700,820,930,930,930
GET,/files/[id]/download,1260,0,130,185.89742214280128,23.799999995389953,1253.5538999945857,4800.0,4.217317038882388,0.0,130,190,240,270,380,490,650,840,1200,1300,1300
GET,/folders/contents,2008,0,110,185.8149656373532,11.66920000105165,1600.185400006012,9707.85906374502,6.720930646091933,0.0,110,190,240,280,430,550,860,1100,1500,1600,1600
GET,/notifications,605,0,110,160.24012628092223,15.977900009602308,1007.932400010759,9554.502479338844,2.0249815940665434,0.0,110,160,210,240,340,430,570,780,1000,1000,1000
POST,/resources/[id]/comments [create],368,0,250,285.67499402233017,66.33519999741111,1767.943999991985,367.0,1.2317243415148562,0.0,250,310,350,380,490,610,890,990,1800,1800,1800
POST,/resources/[id]/tags [attach],407,0,260,295.574591154825,68.27319999865722,1476.5893000003416,780.5675675675676,1.3622603450993112,0.0,260,310,350,390,520,620,810,890,1500,1500,1500
GET,/search,1004,0,610,2062.413872410086,13.134200009517372,17853.146100009326,22474.271912350596,3.3604653230459665,0.0,620,1100,1600,1900,7900,12000,15000,16000,18000,18000,18000
GET,/search/global,392,0,750,2045.8312234687971,94.46770000795368,17178.976299997885,26797.26275510204,1.3120541898745208,0.0,750,1200,1500,1800,6600,12000,16000,16000,17000,17000,17000
POST,/tags [create],407,0,23,62.007991646111,6.505099998321384,957.9525000008289,127.54299754299754,1.3622603450993112,0.0,23,36,66,97,160,240,370,420,960,960,960
GET,/workflows/instances [list],192,0,68,123.94848229147708,10.57869999203831,1392.1415000077104,5265.526041666667,0.6426387868773163,0.0,69,110,160,180,300,400,490,740,1400,1400,1400
POST,/workflows/instances [start],200,0,250,288.8827550005226,56.842599995434284,829.3841000122484,612.0,0.6694154029972045,0.0,250,320,380,400,530,620,700,730,830,830,830
POST,/workflows/instances/[id]/action,188,3,220,248.1900904252704,57.42820000159554,892.7447000023676,815.5053191489362,0.6292504788173723,0.010041231044958068,220,270,310,330,420,510,630,710,890,890,890
,Aggregated,7718,3,170,532.4721773386099,6.505099998321384,17853.146100009326,8593.51606633843,25.83274040166212,0.010041231044958068,170,260,330,390,740,1400,6400,11000,16000,18000,18000
