Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,75,0,320,325.1297399997323,266.07049998710863,404.0967000037199,514.4,0.2510755406714428,0.0,320,340,350,360,380,390,400,400,400,400,400
POST,/files [upload],732,0,95,113.47803087423405,51.18489998858422,522.4267000012333,171.9275956284153,2.4504972769532816,0.0,95,110,130,140,180,240,300,400,520,520,520
GET,/files/[id]/download,1379,0,57,82.47531370539336,23.943799998960458,1157.0749000093201,4800.0,4.616442274478929,0.0,57,79,97,110,160,210,280,390,730,1200,1200
GET,/folders/contents,2438,0,49,78.52483182950272,8.9694999915082,1419.5925999956671,11800.139458572601,8.1616289087597,0.0,49,73,94,110,160,220,350,470,870,1400,1400
GET,/notifications,705,0,66,84.20790439739523,24.0751000092132,576.8920000118669,9570.774468085106,2.360110082311562,0.0,66,88,110,120,150,200,230,330,580,580,580
POST,/resources/[id]/comments [create],511,0,120,151.34387397255276,58.38899999798741,1365.2025000046706,367.0,1.7106613504414303,0.0,120,150,180,190,250,310,410,470,1400,1400,1400
POST,/resources/[id]/tags [attach],447,0,130,159.80922058218167,53.945899999234825,1098.9149999950314,838.8903803131991,1.496410222401799,0.0,130,160,180,210,260,340,470,660,1100,1100,1100
GET,/search,1210,0,54,145.3314451241966,11.534700010088272,4091.211499995552,52410.628925619836,4.050685389499277,0.0,54,100,150,200,340,470,700,950,4100,4100,4100
GET,/search/global,466,0,150,237.03252403403442,73.80660000490025,4260.971199997584,92592.14377682403,1.5600160260385645,0.0,150,200,240,270,390,550,860,2500,4300,4300,4300
POST,/tags [create],447,0,11,28.039665100666312,4.617099999450147,486.95379999116994,127.55704697986577,1.496410222401799,0.0,11,17,24,35,61,100,190,250,490,490,490
GET,/workflows/instances [list],232,0,32,51.624753017676994,10.42250001046341,332.0624000043608,4767.616379310345,0.7766603391436631,0.0,32,43,58,67,130,160,230,270,330,330,330
POST,/workflows/instances [start],238,0,130,155.75723907569846,53.71009999362286,549.4400000025053,612.0,0.7967463823973785,0.0,130,160,180,210,270,310,420,450,550,550,550
POST,/workflows/instances/[id]/action,228,0,110,129.6973473679253,58.82610000844579,895.1477000082377,828.0,0.7632696436411861,0.0,110,130,150,160,210,250,370,400,900,900,900
,Aggregated,9108,0,76,109.5987874835856,4.617099999450147,4260.971199997584,16570.5569828722,30.490613659140013,0.0,76,110,130,150,220,310,440,570,2600,4300,4300
