Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,75,0,1300,1980.4107146669412,299.19230000814423,6755.113000006531,516.0,0.2524951018878499,0.0,1300,2200,2700,3700,4700,5800,5800,6800,6800,6800,6800
POST,/files [upload],233,0,4100,4155.785361373204,435.2210000070045,8961.123999994015,169.72532188841203,0.7844181165315871,0.0,4100,4700,5100,5400,6100,7000,7200,7500,9000,9000,9000
GET,/files/[id]/download,450,0,5300,5090.724519555676,27.10980000847485,10205.884800001513,4800.0,1.5149706113270995,0.0,5300,6300,7000,7300,8300,8900,9300,9600,10000,10000,10000
GET,/folders/contents,809,0,5400,5172.707725586908,15.025900007458404,11773.924300010549,4631.177997527812,2.7235804990302745,0.0,5400,6500,7000,7400,8400,9100,9700,10000,12000,12000,12000
GET,/notifications,222,0,4200,4168.279463963896,16.983299996354617,9821.181699997396,9533.274774774774,0.7473855015880357,0.0,4200,5000,5800,6000,6800,7300,7900,8200,9800,9800,9800
POST,/resources/[id]/comments [create],155,0,7200,7184.690593549092,413.8933999929577,11886.553900010767,365.6193548387097,0.5218232105682231,0.0,7200,8200,8900,9100,10000,11000,12000,12000,12000,12000,12000
POST,/resources/[id]/tags [attach],135,0,6100,6596.384244444845,1486.9593000039458,12844.184600005974,394.3333333333333,0.4544911833981298,0.0,6100,7200,8000,8200,10000,11000,12000,13000,13000,13000,13000
GET,/search,383,0,5400,5410.6502537866,33.422199994674884,10727.095000009285,6767.271540469974,1.2894083203072868,0.0,5400,6600,7200,7700,8600,9100,9800,10000,11000,11000,11000
GET,/search/global,155,0,4400,4466.503353548732,101.6304999939166,9958.063199999742,11536.483870967742,0.5218232105682231,0.0,4400,5100,5700,6000,7300,7800,8400,9300,10000,10000,10000
POST,/tags [create],138,0,3000,3035.1100384065394,5.375900000217371,7776.620199991157,127.60144927536231,0.46459098747364386,0.0,3000,3700,4200,5000,5800,6900,7100,7500,7800,7800,7800
GET,/workflows/instances [list],66,0,5800,5494.126845453689,18.539900003816,9618.928500000038,4563.848484848485,0.22219568966130793,0.0,5900,6500,7200,7500,8700,9100,9400,9600,9600,9600,9600
POST,/workflows/instances [start],67,0,7000,7089.770397015217,1983.0317000014475,13974.394799995935,610.5522388059702,0.2255622910198126,0.0,7000,8100,8700,9100,9700,12000,14000,14000,14000,14000,14000
POST,/workflows/instances/[id]/action,63,8,6000,5755.247012698896,1580.5605000059586,12834.133999989717,740.2698412698413,0.21209588558579393,0.026932810868037324,6000,6400,7200,7500,8000,9200,11000,13000,13000,13000,13000
,Aggregated,2951,8,5100,5051.003773331212,5.375900000217371,13974.394799995935,4404.455777702474,9.934840608947267,0.026932810868037324,5100,6100,6800,7200,8300,9100,9900,11000,13000,14000,14000
